X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
889;649;0.4634721;0.6014504;0.4437623;0.615256;756.1;0.2072233;False;12/21/2025 10:50:22 PM:454;1766332222454;;
888;649;0.4630026;0.6018463;0.4437583;0.6152547;759.8;0.2072527;False;12/21/2025 10:50:22 PM:488;1766332222488;;
888;650;0.4626604;0.6020287;0.444173;0.6077102;759.9;0.2312322;False;12/21/2025 10:50:22 PM:520;1766332222520;;
888;650;0.4626084;0.6021166;0.4549962;0.633124;760.0;0.2321556;False;12/21/2025 10:50:22 PM:550;1766332222550;;
889;646;0.4632184;0.5987304;0.4757241;0.5585586;758.1;0.2420056;False;12/21/2025 10:50:22 PM:584;1766332222584;;
889;646;0.4631918;0.5988078;0.4601422;0.6213731;761.5;0.2383702;False;12/21/2025 10:50:22 PM:617;1766332222617;;
889;646;0.4632356;0.598996;0.4656319;0.6251917;764.6;0.2389084;False;12/21/2025 10:50:22 PM:651;1766332222651;;
889;645;0.4632131;0.5972764;0.4568531;0.5695775;769.8;0.2359943;False;12/21/2025 10:50:22 PM:686;1766332222686;;
889;643;0.4631962;0.5960276;0.4568804;0.5695717;774.4;0.2361431;False;12/21/2025 10:50:22 PM:718;1766332222718;;
889;645;0.463048;0.598033;0.4518965;0.6416027;772.2;0.2206892;False;12/21/2025 10:50:22 PM:753;1766332222753;;
888;647;0.4628766;0.5991029;0.4505264;0.6350955;770.2;0.2204547;False;12/21/2025 10:50:22 PM:788;1766332222788;;
886;645;0.4618605;0.5974457;0.4367002;0.5680625;774.3;0.2238155;False;12/21/2025 10:50:22 PM:822;1766332222822;;
886;645;0.4615758;0.5975353;0.4449311;0.6117457;775.5;0.2178223;False;12/21/2025 10:50:22 PM:859;1766332222859;;
885;645;0.4613606;0.5976029;0.444894;0.6117287;776.5;0.2181717;False;12/21/2025 10:50:22 PM:892;1766332222892;;
885;645;0.4610378;0.5975314;0.4420743;0.5936214;778.7;0.2147335;False;12/21/2025 10:50:22 PM:927;1766332222927;;
884;645;0.4607342;0.5975477;0.4409059;0.5998969;780.6;0.2152013;False;12/21/2025 10:50:22 PM:959;1766332222959;;
884;645;0.460611;0.5977135;0.4437008;0.6138669;779.9;0.2217414;False;12/21/2025 10:50:22 PM:990;1766332222990;;
884;645;0.4605078;0.5978485;0.4436537;0.6138324;779.2;0.2223042;False;12/21/2025 10:50:23 PM:21;1766332223021;;
884;648;0.4604265;0.600749;0.4566524;0.6545725;777.7;0.2127662;False;12/21/2025 10:50:23 PM:54;1766332223054;;
883;651;0.4603517;0.6032252;0.4558039;0.6558537;776.4;0.213215;False;12/21/2025 10:50:23 PM:86;1766332223086;;
884;651;0.4605195;0.60303;0.4655328;0.5965259;776.3;0.2056139;False;12/21/2025 10:50:23 PM:119;1766332223119;;
883;649;0.4603686;0.6015664;0.4468748;0.5739077;776.6;0.2314691;False;12/21/2025 10:50:23 PM:153;1766332223153;;
883;648;0.4602486;0.6004387;0.4468904;0.573918;776.9;0.2312731;False;12/21/2025 10:50:23 PM:186;1766332223186;;
883;639;0.4601995;0.5923052;0.4540339;0.5157744;773.4;0.2197554;False;12/21/2025 10:50:23 PM:220;1766332223220;;
883;632;0.4601589;0.5860859;0.4540077;0.515694;770.3;0.220146;False;12/21/2025 10:50:23 PM:255;1766332223255;;
883;632;0.4600741;0.5860509;0.4484105;0.5817882;773.7;0.2165848;False;12/21/2025 10:50:23 PM:291;1766332223291;;
882;634;0.459884;0.5874979;0.4452032;0.6166081;776.7;0.2174257;False;12/21/2025 10:50:23 PM:326;1766332223326;;
882;631;0.4598641;0.5849261;0.4491629;0.5382211;778.6;0.2315096;False;12/21/2025 10:50:23 PM:361;1766332223361;;
882;617;0.4598113;0.5714124;0.4559116;0.4686654;779.8;0.2181546;False;12/21/2025 10:50:23 PM:395;1766332223395;;
882;616;0.4597183;0.5712861;0.4471938;0.5509558;781.0;0.2185001;False;12/21/2025 10:50:23 PM:426;1766332223426;;
884;593;0.4605602;0.5491821;0.4762047;0.4146261;777.4;0.2234007;False;12/21/2025 10:50:23 PM:459;1766332223459;;
885;581;0.4609665;0.5380023;0.4722866;0.4359026;774.2;0.2234371;False;12/21/2025 10:50:23 PM:492;1766332223492;;
885;538;0.4609542;0.4989019;0.4564826;0.3236206;781.2;0.2015094;False;12/21/2025 10:50:23 PM:524;1766332223524;;
886;509;0.4617414;0.4714851;0.4787466;0.3270098;787.4;0.2015715;False;12/21/2025 10:50:23 PM:559;1766332223559;;
887;521;0.4620056;0.4830087;0.4730619;0.5704635;794.3;0.1982809;False;12/21/2025 10:50:23 PM:591;1766332223591;;
887;533;0.4621936;0.4938818;0.4723943;0.5826215;800.6;0.1982752;False;12/21/2025 10:50:23 PM:623;1766332223623;;
928;569;0.4836318;0.5274736;0.5190716;0.5850053;806.1;0.2069475;False;12/21/2025 10:50:25 PM:205;1766332225205;;
925;570;0.4821567;0.5281085;0.4665691;0.5570198;811.0;0.2067287;False;12/21/2025 10:50:25 PM:236;1766332225236;;
918;582;0.4784993;0.539422;0.4499788;0.6518183;817.6;0.1986244;False;12/21/2025 10:50:25 PM:274;1766332225274;;
913;591;0.4760193;0.5472425;0.449983;0.6518193;823.4;0.1986413;False;12/21/2025 10:50:25 PM:306;1766332225306;;
